Naslov,Redatelj,Label,Datum,Trajanje_sekunde,Zanr,Pregledi,Komentari,Lajkovi,Izvodaci
Drake - First Person Shooter ft. J. Cole,Gibson Hazard,OVO,2023-11-15,300,Hip-hop/Rap,67461946,61134,1200000,"Drake, J. Cole"
Travis Scott - FE!N ft. Playboi Carti ,Gabriel Moses,Cactus Jack Records,2024-03-30,209,Hip-hop/Rap,100240856,51076,1700000,"Playboi Carti, Travis Scott"
Travis Scott - Drugs You Should Try It ,Jordan Hemingway,Cactus Jack Records,2024-08-27,208,Hip-hop/Rap,6595208,12610,280000,Travis Scott
Travis Scott - MO CITY FLEXOLOGIST,Kahlil Joseph,Cactus Jack Records,2024-09-24,216,Hip-hop/Rap,6538357,7559,275000,Travis Scott
THOUGHT I WAS DEAD,Tyler Okonma,Columbia Records,2024-10-26,108,Hip-hop/Rap,3784264,24070,466000,"Tyler, The Creator"
NOID,Tyler Okonma,Columbia Records,2024-10-21,162,Hip-hop/Rap,8689820,31782,699000,"Tyler, The Creator"
Childish Gambino - This Is America (Official Video),Hiro Murai,RCA Records,2018-05-06,246,Hip-hop/Rap,934548549,791503,12000000,Childish Gambino
KSI - Thick Of It (feat. Trippie Redd) [Official Music Video] ,KC Locke\n,Atlantic Records UK,2024-10-03,176,Hip-hop/Rap,44248440,522112,922000,"KSI, Trippie Redd"
EARFQUAKE,Tyler Okonma,Columbia Records,2019-05-17,266,Hip-hop/Rap,155996909,98431,3000000,"Tyler, The Creator"
Kendrick Lamar - Not Like Us,"Kendrick Lamar, Dave Free",Interscope Records,2024-05-07,354,Hip-hop/Rap,162807195,289832,4900000,Kendrick Lamar
