Datum,Izvodaci,Komentari,Label,Lajkovi,Naslov,Pregledi,Redatelj,Trajanje_sekunde,Zanr
2018-05-06,['Childish Gambino'],791503,RCA Records,12000000,Childish Gambino - This Is America (Official Video),934548549,Hiro Murai,246,Hip-hop/Rap
2023-11-15,"['Drake', 'J. Cole']",61134,OVO,1200000,Drake - First Person Shooter ft. J. Cole,67461946,Gibson Hazard,300,Hip-hop/Rap
2019-05-17,"['Tyler, The Creator']",98431,Columbia Records,3000000,EARFQUAKE,155996909,Tyler Okonma,266,Hip-hop/Rap
2024-10-03,"['KSI', 'Trippie Redd']",522112,Atlantic Records UK,922000,KSI - Thick Of It (feat. Trippie Redd) [Official Music Video] ,44248440,"KC Locke
",176,Hip-hop/Rap
2024-05-07,['Kendrick Lamar'],289832,Interscope Records,4900000,Kendrick Lamar - Not Like Us,162807195,"Kendrick Lamar, Dave Free",354,Hip-hop/Rap
2024-10-21,"['Tyler, The Creator']",31782,Columbia Records,699000,NOID,8689820,Tyler Okonma,162,Hip-hop/Rap
2024-10-26,"['Tyler, The Creator']",24070,Columbia Records,466000,THOUGHT I WAS DEAD,3784264,Tyler Okonma,108,Hip-hop/Rap
2024-08-27,['Travis Scott'],12610,Cactus Jack Records,280000,Travis Scott - Drugs You Should Try It ,6595208,Jordan Hemingway,208,Hip-hop/Rap
2024-03-30,"['Playboi Carti', 'Travis Scott']",51076,Cactus Jack Records,1700000,Travis Scott - FE!N ft. Playboi Carti ,100240856,Gabriel Moses,209,Hip-hop/Rap
2024-09-24,['Travis Scott'],7559,Cactus Jack Records,275000,Travis Scott - MO CITY FLEXOLOGIST,6538357,Kahlil Joseph,216,Hip-hop/Rap
